"NDB_No"|"FdGrp_Cd"|"Long_Desc"|"Shrt_Desc"|"ComName"|"ManufacName"
"20046"|"2000"|"Rice, white, long-grain, parboiled, enriched, dry"|"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,DRY"||
"20047"|"2000"|"Rice, white, long-grain, parboiled, enriched, cooked"|"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,CKD"||
"20048"|"2000"|"Rice, white, long-grain, precooked or instant, enriched, dry"|"RICE,WHITE,LONG-GRAIN,PRECKD OR INST,ENR,DRY"||
"20049"|"2000"|"Rice, white, long-grain, precooked or instant, enriched, prepared"|"RICE,WHITE,LONG-GRAIN,PRECKD OR INST,ENR,PREP"||
"20050"|"2000"|"Rice, white, medium-grain, raw, enriched"|"RICE,WHITE,MEDIUM-GRAIN,RAW,ENR"||
"20051"|"2000"|"Rice, white, medium-grain, cooked"|"RICE,WHITE,MEDIUM-GRAIN,CKD"||
"20052"|"2000"|"Rice, white, short-grain, raw"|"RICE,WHITE,SHORT-GRAIN,RAW"||
"20053"|"2000"|"Rice, white, short-grain, cooked"|"RICE,WHITE,SHORT-GRAIN,CKD"||
"20054"|"2000"|"Rice, white, glutinous, raw"|"RICE,WHITE,GLUTINOUS,RAW"||
"20055"|"2000"|"Rice, white, glutinous, cooked"|"RICE,WHITE,GLUTINOUS,CKD"||
"20056"|"2000"|"Rice, white, with pasta, dry"|"RICE,WHITE,WITH PASTA,DRY"||
"20057"|"2000"|"Rice, white, with pasta, cooked"|"RICE,WHITE,W/PASTA,CKD"||
"20058"|"2000"|"Rice, white, steamed, Chinese restaurant"|"RICE,WHITE,STMD,CHINESE RESTAURANT"||
"20060"|"2000"|"Rice bran, crude"|"RICE BRAN,CRUDE"||
"20061"|"2000"|"Rice flour, white"|"RICE FLOUR,WHITE"||
"20062"|"2000"|"Rye"|"RYE"||
"20063"|"2000"|"Rye flour, dark"|"RYE FLOUR,DARK"||
"20064"|"2000"|"Rye flour, medium"|"RYE FLOUR,MEDIUM"||
"20065"|"2000"|"Rye flour, light"|"RYE FLOUR,LIGHT"||
"20066"|"2000"|"Semolina, enriched"|"SEMOLINA,ENRICHED"||
"20067"|"2000"|"Sorghum"|"SORGHUM"||
"20068"|"2000"|"Tapioca, pearl, dry"|"TAPIOCA,PEARL,DRY"||
"20069"|"2000"|"Triticale"|"TRITICALE"||
"20070"|"2000"|"Triticale flour, whole-grain"|"TRITICALE FLR,WHOLE-GRAIN"||
"20071"|"2000"|"Wheat, hard red spring"|"WHEAT,HARD RED SPRING"||
"20072"|"2000"|"Wheat, hard red winter"|"WHEAT,HARD RED WINTER"||
"20073"|"2000"|"Wheat, soft red winter"|"WHEAT,SOFT RED WINTER"||
"20074"|"2000"|"Wheat, hard white"|"WHEAT,HARD WHITE"||
"20075"|"2000"|"Wheat, soft white"|"WHEAT,SOFT WHITE"||
"20076"|"2000"|"Wheat, durum"|"WHEAT,DURUM"||
"20077"|"2000"|"Wheat bran, crude"|"WHEAT BRAN,CRUDE"||
"20078"|"2000"|"Wheat germ, crude"|"WHEAT GERM,CRUDE"||
"20080"|"2000"|"Wheat flour, whole-grain"|"WHEAT FLOUR,WHOLE-GRAIN"||
"20081"|"2000"|"Wheat flour, white, all-purpose, enriched, bleached"|"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,BLEACHED"||
"20082"|"2000"|"Wheat flour, white, all-purpose, self-rising, enriched"|"WHEAT FLR,WHITE,ALL-PURPOSE,SELF-RISING,ENR"||
"20083"|"2000"|"Wheat flour, white, bread, enriched"|"WHEAT FLR,WHITE,BREAD,ENR"||
"20084"|"2000"|"Wheat flour, white, cake, enriched"|"WHEAT FLR,WHITE,CAKE,ENR"||
"20086"|"2000"|"Wheat flour, white, tortilla mix, enriched"|"WHEAT FLR,WHITE,TORTILLA MIX,ENR"||
"20087"|"2000"|"Wheat, sprouted"|"WHEAT,SPROUTED"||
"20088"|"2000"|"Wild rice, raw"|"WILD RICE,RAW"||
"20089"|"2000"|"Wild rice, cooked"|"WILD RICE,COOKED"||
"20090"|"2000"|"Rice flour, brown"|"RICE FLOUR,BROWN"||
"20091"|"2000"|"Pasta, corn, dry"|"PASTA,CORN,DRY"||
"20092"|"2000"|"Pasta, corn, cooked"|"PASTA,CORN,COOKED"||
"20093"|"2000"|"Pasta, fresh-refrigerated, plain, as purchased"|"PASTA,FRESH-REFRIGERATED,PLN,AS PURCHASED"||
"20094"|"2000"|"Pasta, fresh-refrigerated, plain, cooked"|"PASTA,FRESH-REFRIGERATED,PLN,CKD"||
"20095"|"2000"|"Pasta, fresh-refrigerated, spinach, as purchased"|"PASTA,FRESH-REFRIGERATED,SPINACH,AS PURCHASED"||
"20096"|"2000"|"Pasta, fresh-refrigerated, spinach, cooked"|"PASTA,FRESH-REFRIGERATED,SPINACH,CKD"||
"20097"|"2000"|"Pasta, homemade, made with egg, cooked"|"PASTA,HOMEMADE,MADE W/EGG,CKD"||
"20098"|"2000"|"Pasta, homemade, made without egg, cooked"|"PASTA,HOMEMADE,MADE WO/EGG,CKD"||
"20099"|"2000"|"Macaroni, dry, enriched"|"MACARONI,DRY,ENR"||
"20100"|"2000"|"Macaroni, cooked, enriched"|"MACARONI,COOKED,ENRICHED"||
"20101"|"2000"|"Macaroni, protein-fortified, dry, enriched, (n x 5.70)"|"MACARONI,PROTEIN-FORTIFIED,DRY,ENR,(N X 5.70)"||
"20102"|"2000"|"Macaroni, protein-fortified, cooked, enriched, (n x 5.70)"|"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 5.70)"||
"20105"|"2000"|"Macaroni, vegetable, dry, enriched"|"MACARONI,VEG,DRY,ENR"||
"20106"|"2000"|"Macaroni, vegetable, cooked, enriched"|"MACARONI,VEG,CKD,ENR"||
"20107"|"2000"|"Macaroni, whole-wheat, dry"|"MACARONI,WHOLE-WHEAT,DRY"||
"20108"|"2000"|"Macaroni, whole-wheat, cooked"|"MACARONI,WHOLE-WHEAT,CKD"||
"20109"|"2000"|"Noodles, egg, dry, enriched"|"NOODLES,EGG,DRY,ENRICHED"||
"20110"|"2000"|"Noodles, egg, cooked, enriched"|"NOODLES,EGG,CKD,ENR"||
"20111"|"2000"|"Noodles, egg, spinach, dry, enriched"|"NOODLES,EGG,SPINACH,DRY,ENR"||
"20112"|"2000"|"Noodles, egg, spinach, cooked, enriched"|"NOODLES,EGG,SPINACH,CKD,ENR"||
"20113"|"2000"|"Noodles, chinese, chow mein"|"NOODLES,CHINESE,CHOW MEIN"||
"20114"|"2000"|"Noodles, japanese, soba, dry"|"NOODLES,JAPANESE,SOBA,DRY"||
"20115"|"2000"|"Noodles, japanese, soba, cooked"|"NOODLES,JAPANESE,SOBA,CKD"||
"20116"|"2000"|"Noodles, japanese, somen, dry"|"NOODLES,JAPANESE,SOMEN,DRY"||
"20117"|"2000"|"Noodles, japanese, somen, cooked"|"NOODLES,JAPANESE,SOMEN,CKD"||
"20118"|"2000"|"Noodles, flat, crunchy, Chinese restaurant"|"NOODLES,FLAT,CRUNCHY,CHINESE RESTAURANT"||
"20120"|"2000"|"Spaghetti, dry, enriched"|"SPAGHETTI,DRY,ENRICHED"||
"20121"|"2000"|"Spaghetti, cooked, enriched, without added salt"|"SPAGHETTI,CKD,ENR,WO/ SALT"||
"20122"|"2000"|"Spaghetti, protein-fortified, dry, enriched (n x 5.70)"|"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 5.70)"||
"20123"|"2000"|"Spaghetti, protein-fortified, cooked, enriched (N x 5.70)"|"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 5.70)"||
"20124"|"2000"|"Spaghetti, whole-wheat, dry"|"SPAGHETTI,WHOLE-WHEAT,DRY"||
"20125"|"2000"|"Spaghetti, whole-wheat, cooked"|"SPAGHETTI,WHOLE-WHEAT,CKD"||
"20126"|"2000"|"Spaghetti, spinach, dry"|"SPAGHETTI,SPINACH,DRY"||
"20127"|"2000"|"Spaghetti, spinach, cooked"|"SPAGHETTI,SPINACH,COOKED"||
"20129"|"2000"|"Wheat flours, bread, unenriched"|"WHEAT FLOURS,BREAD,UNENR"||
"20130"|"2000"|"Barley flour or meal"|"BARLEY FLOUR OR MEAL"||
"20131"|"2000"|"Barley malt flour"|"BARLEY MALT FLR"||
"20132"|"2000"|"Oat flour, partially debranned"|"OAT FLR,PART DEBRANNED"||
"20133"|"2000"|"Rice noodles, dry"|"RICE NOODLES,DRY"||
"20134"|"2000"|"Rice noodles, cooked"|"RICE NOODLES,COOKED"||
"20137"|"2000"|"Quinoa, cooked"|"QUINOA,CKD"||
"20138"|"2000"|"Kamut, uncooked"|"KAMUT,UNCKD"||
"20139"|"2000"|"Kamut, cooked"|"KAMUT,CKD"||
"20140"|"2000"|"Spelt, uncooked"|"SPELT,UNCKD"||
"20141"|"2000"|"Spelt, cooked"|"SPELT,CKD"||
"20142"|"2000"|"Teff, uncooked"|"TEFF,UNCKD"||
"20143"|"2000"|"Teff, cooked"|"TEFF,CKD"||
"20301"|"2000"|"Macaroni, protein-fortified, dry, enriched, (n x 6.25)"|"MACARONI,PROTEIN-FORTIFIED,DRY,ENR,(N X 6.25)"||
"20302"|"2000"|"Macaroni, protein-fortified, cooked, enriched, (n x 6.25)"|"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 6.25)"||
"20310"|"2000"|"Noodles, egg, cooked, enriched, with added salt"|"NOODLES,EGG,CKD,ENR,W/ SALT"||
